requested	app-global-remainder
sdlAvailable	app-global-remainder
created	app-global-remainder
drawable	app-global-remainder
openingMenuVisible	FrontendWindowShell
menuTextDrawn	FrontendWindowShell
selectedRowDrawn	FrontendWindowShell
mouseMenuSelectUsed	FrontendWindowShell
gamepadAvailable	InputDeviceStore
gamepadMenuSelectUsed	InputDeviceStore
gamepadName	InputDeviceStore
gamepadMapping	InputDeviceStore
interactionMode	InputDeviceStore
mapMakerStatus	ViewportStore
mapMakerReasonCode	ViewportStore
mapMakerGridVisible	ViewportStore
mapMakerGridStatus	ViewportStore
mapMakerGridReasonCode	ViewportStore
mapMakerGridPitchMeters	ViewportStore
mapMakerGridMajorStepMeters	ViewportStore
mapMakerGridPlaneY	ViewportStore
mapMakerGridLayerCount	ViewportStore
mapMakerGridDotCount	ViewportStore
mapMakerGridMajorDotCount	ViewportStore
interactionModeHud	InputDeviceStore
topDownMap	DebugHudStore
devCollisionOverlay	DebugHudStore
mouseCapture	InputDeviceStore
controllerModeToggle	InputDeviceStore
controllerAction	InputDeviceStore
selectedSettingsTab	FrontendWindowShell
runtimeSessionCreated	SaveSessionStore
gameplayActive	GameplayStore
launchAction	FrontendWindowShell
launchStatus	FrontendWindowShell
packageLoadStatus	FrontendWindowShell
startup	FrontendWindowShell
worldSetup	CreativeAuthoringStore
worldCreation	CreativeAuthoringStore
asciiRoomDraft	CreativeAuthoringStore
asciiRoomPreview	CreativeAuthoringStore
asciiRoomActivation	CreativeAuthoringStore
roomEditing	CreativeAuthoringStore
roomEditingLastOperation	CreativeAuthoringStore
roomEditingLastOperationStatus	CreativeAuthoringStore
roomEditingLastOperationReasonCode	CreativeAuthoringStore
roomEditingLastInputSource	CreativeAuthoringStore
roomEditingLastOperationAccepted	CreativeAuthoringStore
roomEditingLastPrimitiveId	CreativeAuthoringStore
roomEditorCursorReady	CreativeAuthoringStore
roomEditorCursor	CreativeAuthoringStore
roomEditorStatus	CreativeAuthoringStore
roomEditorReasonCode	CreativeAuthoringStore
roomEditorLastOperation	CreativeAuthoringStore
roomEditorLastOperationAccepted	CreativeAuthoringStore
roomEditorLastPrimitiveId	CreativeAuthoringStore
roomEditorOverlay	CreativeAuthoringStore
roomEditorPreview	CreativeAuthoringStore
roomEditorPlacementPreview	CreativeAuthoringStore
roomEditorHud	CreativeAuthoringStore
activeRoom	RoomStore
activeRoomRevision	RoomStore
activeRoomCollision	RoomStore
activeRoomCollisionFreshness	RoomStore
productSaveStatus	SaveSessionStore
productSaveReasonCode	SaveSessionStore
productSaveDurableReason	SaveSessionStore
productSaveSource	SaveSessionStore
productSaveSaveId	SaveSessionStore
productSaveSessionSaved	SaveSessionStore
activeProductSaveId	SaveSessionStore
activeCreative	delete
creativeDocumentRevision	CreativeAuthoringStore
creativeDocumentChangedThisFrame	CreativeAuthoringStore
creativeUndo	CreativeAuthoringStore
creativeBakedRoomStale	CreativeAuthoringStore
creativeBakedRoomStaleDocumentId	CreativeAuthoringStore
creativeBakedRoomStaleRevision	CreativeAuthoringStore
creativeBakedRoomStaleStatus	CreativeAuthoringStore
creativeBakedRoomStaleReasonCode	CreativeAuthoringStore
creativeNavigateActive	CreativeAuthoringStore
productSaveLoadResult	SaveSessionStore
productSaveLoadSource	SaveSessionStore
productSaveLoadSelectedId	SaveSessionStore
productSaveLoadSelectedEnabled	SaveSessionStore
savedMarkerBind	SaveSessionStore
selectedProductSave	SaveSessionStore
saveSlotBrowserMode	SaveSessionStore
saveSlotRingCount	SaveSessionStore
saveSlotRingSelectedIndex	SaveSessionStore
saveSlotRingSelectedId	SaveSessionStore
saveSlotRingSelectedStatus	SaveSessionStore
saveSlotActionCommand	SaveSessionStore
saveSlotActionEnabled	SaveSessionStore
saveSlotActionConfirmationRequired	SaveSessionStore
saveSlotActionStatus	SaveSessionStore
saveFlow	SaveSessionStore
saveDelete	SaveSessionStore
deletedSaveBrowserOpen	SaveSessionStore
deletedSaveCount	SaveSessionStore
deletedCompatibleSaveCount	SaveSessionStore
deletedSelectedSaveId	SaveSessionStore
deletedSelectedSaveEnabled	SaveSessionStore
deletedSelectedSaveStatus	SaveSessionStore
saveRecover	SaveSessionStore
runtimeStateHash	delete
viewport	ViewportStore
sceneItemCount	GameplayStore
debugItemCount	GameplayStore
npcBehaviorDebugHud	DebugHudStore
physicsDebugHud	DebugHudStore
positionHud	DebugHudStore
playerVisible	GameplayStore
roomVisible	GameplayStore
objectiveVisible	GameplayStore
rendererMutatedRuntime	GameplayStore
scriptedGameplaySmoke	GameplayStore
gameplayInputUsed	GameplayStore
gameplayInputSource	GameplayStore
gameplayInputSuppressed	delete
gameplayCommand	GameplayStore
gameplayTickAdvanced	GameplayStore
playerPositionChanged	GameplayStore
gameplayMovement	GameplayStore
gameplayWallRun	GameplayStore
gameplayJump	GameplayStore
gameplayReset	GameplayStore
gameplayTraversal	GameplayStore
gameplayDash	GameplayStore
gameplayCollision	GameplayStore
gameplayTickReasonCode	GameplayStore
physicsMovementPlanner	GameplayStore
targetDiscovered	GameplayStore
gameplayTarget	GameplayStore
gameplayOutcome	GameplayStore
sessionOutcome	GameplayStore
gameplayTape	GameplayStore
interactionExecuted	GameplayStore
attackExecuted	GameplayStore
productTransition	GameplayStore
gameplayReachGate	GameplayStore
gameplayLastRejection	GameplayStore
inputOwner	delete
lastInputAction	InputDeviceStore
lastInputAccepted	InputDeviceStore
automationControl	FrontendWindowShell
productVulkanRenderer	PresentPathStore
productVulkanSurfaceCreated	app-global-remainder
productVulkanSwapchainReady	app-global-remainder
productVulkanFrameSubmitted	app-global-remainder
productVulkanFrameSubmittedCount	PresentPathStore
productVulkanStatus	PresentPathStore
productVulkanReasonCode	PresentPathStore
productVulkanRenderingPath	PresentPathStore
productVulkanRecordMode	PresentPathStore
productVulkanMenu	FrontendWindowShell
creativeUiProjection	CreativeAuthoringStore
creativeUiInput	CreativeAuthoringStore
creativeUiLast	CreativeAuthoringStore
creativeUiCommand	CreativeAuthoringStore
creativeBakedRoomAutoRefresh	CreativeAuthoringStore
creativeViewportPickRequested	CreativeAuthoringStore
creativeViewportPickActive	CreativeAuthoringStore
